date_key,region,customer_segment,product_category,total_quantity,total_revenue,avg_discount,total_profit
2024-07-29,North,Corporate,Office Supplies,1,323.57457000000005,0.01,55.58457000000004
2025-04-12,East,Home Office,Office Supplies,2,313.37166,0.02,102.29166000000001
2025-04-16,North,Consumer,Furniture,7,1847.4600650000007,0.155,989.4700650000005
2025-07-14,South,Corporate,Office Supplies,3,747.4685400000001,0.09,509.17854000000005
2024-03-18,Central,Consumer,Technology,6,532.281078,0.11,-327.9389219999999
2023-12-29,East,Consumer,Technology,4,585.9053200000001,0.09,-253.53467999999998
2023-05-05,South,Consumer,Furniture,1,410.44003000000004,0.09,186.85003000000003
2025-06-29,Central,Corporate,Technology,2,524.2248000000001,0.1,-59.71519999999998
2023-05-02,North,Consumer,Technology,3,1175.26464,0.04,795.0446400000001
2023-05-05,Central,Consumer,Technology,4,1611.88192,0.06,1336.92192
2023-06-19,West,Home Office,Technology,4,1466.05536,0.12,1251.09536
2023-05-04,North,Corporate,Office Supplies,2,112.366692,0.07,-296.133308
2024-10-07,East,Consumer,Office Supplies,3,441.21193200000005,0.16,-362.758068
2025-02-24,Central,Consumer,Office Supplies,8,3345.8858999999998,0.125,2921.8459
2024-01-04,North,Consumer,Office Supplies,1,94.06078000000001,0.14,-80.07921999999998
2025-03-07,North,Home Office,Technology,4,1343.2834800000003,0.13,248.68348000000037
2023-02-28,Central,Home Office,Office Supplies,4,569.1840000000001,0.12,92.06400000000008
2024-09-29,East,Consumer,Technology,5,432.44190000000003,0.01,-533.4080999999999
2025-12-28,Central,Corporate,Furniture,10,4393.0776000000005,0.1,2641.4276
2023-11-01,Central,Consumer,Office Supplies,2,161.00448000000003,0.03,-247.49551999999997
2024-11-04,Central,Corporate,Technology,3,1401.2598600000003,0.02,1085.5698600000003
2023-12-31,Central,Corporate,Technology,7,296.01977999999997,0.16,235.60977999999997
2025-03-31,Central,Home Office,Technology,3,1061.0837999999999,0.1,647.2937999999999
2023-12-09,Central,Consumer,Technology,6,666.6093,0.05,588.0693
2025-08-04,North,Corporate,Technology,1,418.12847999999997,0.16,208.26847999999995
2025-06-17,Central,Corporate,Furniture,8,214.22016,0.16,-1422.17984
2025-07-30,North,Consumer,Office Supplies,3,1118.429484,0.06,395.12948400000005
2023-12-25,Central,Corporate,Office Supplies,3,1436.00718,0.015,849.5371800000001
2025-04-15,West,Home Office,Furniture,5,1269.1398399999998,0.14,396.33983999999987
2024-04-27,North,Home Office,Office Supplies,0,1842.5321250000002,0.05,1842.5321250000002
2025-05-15,North,Corporate,Office Supplies,6,2415.8554200000003,0.07,1443.3154200000004
2023-05-19,West,Corporate,Office Supplies,12,3630.68508,0.11333333333333334,2367.4050799999995
2025-09-22,East,Corporate,Technology,0,2368.190340000001,0.18,2368.190340000001
2023-04-14,Central,Corporate,Furniture,5,1311.5482800000002,0.11499999999999999,184.23828000000015
2023-06-14,North,Consumer,Office Supplies,3,1004.2836299999999,0.13,203.37362999999982
2024-06-03,East,Corporate,Furniture,6,1746.54333,0.075,773.4233300000001
2024-10-18,East,Home Office,Technology,7,967.86536,0.06,92.44535999999994
2023-09-03,Central,Home Office,Office Supplies,6,153.03645,0.05,-978.8035499999999
2024-01-30,North,Corporate,Office Supplies,12,1260.5103,0.11,-32.66969999999998
2025-11-09,East,Corporate,Technology,1,420.23499,0.06,167.98498999999998
2023-05-27,North,Home Office,Furniture,3,363.3147,0.06,-61.30529999999999
2024-10-27,East,Corporate,Furniture,1,15.189185,0.11,-184.16081499999999
2024-09-11,Central,Home Office,Office Supplies,2,2357.20105,0.085,2108.70105
2025-03-30,Central,Consumer,Furniture,5,1177.8322500000002,0.15,1149.7322500000002
2025-05-13,North,Consumer,Furniture,3,762.63,0.09,708.0
2024-08-04,North,Home Office,Office Supplies,2,22.5834,0.05,-535.7766
2024-11-25,Central,Corporate,Office Supplies,4,1520.53848,0.15,1408.93848
2024-02-03,Central,Corporate,Office Supplies,5,629.9839000000001,0.09,-611.2161
2025-01-30,North,Consumer,Office Supplies,2,879.1061400000001,0.01,530.8261400000001
2024-05-13,Central,Corporate,Office Supplies,5,1939.70175,0.06,1104.05175
2025-08-31,South,Consumer,Office Supplies,3,759.35538,0.17,249.47537999999997
2024-08-26,East,Corporate,Technology,3,1340.2456200000001,0.16,989.9056200000001
2025-06-21,Central,Home Office,Office Supplies,0,263.5578,0.19,263.5578
2023-12-31,Central,Consumer,Technology,9,3135.35736,0.175,2443.7673600000003
2023-06-12,Central,Consumer,Technology,3,151.25292000000005,0.19,-478.32708
2023-04-26,North,Home Office,Office Supplies,4,302.48022,0.17,-275.63978000000003
2025-07-29,North,Home Office,Furniture,8,3125.4831749999994,0.065,3000.7231749999996
2025-01-06,North,Consumer,Furniture,2,271.38966400000004,0.09,-259.1503359999999
2025-11-02,South,Consumer,Furniture,5,1095.15,0.2,72.40000000000009
2025-07-31,North,Consumer,Technology,5,1230.9797500000002,0.09,883.6797500000002
2024-11-13,East,Corporate,Office Supplies,5,744.7665450000001,0.13,-305.183455
2025-06-24,North,Consumer,Office Supplies,2,616.5951000000001,0.15,292.31510000000014
2023-10-04,Central,Home Office,Office Supplies,9,2764.72023,0.065,430.15022999999997
2023-01-19,Central,Home Office,Office Supplies,5,681.9794800000002,0.09,561.5794800000002
2025-03-04,North,Corporate,Furniture,1,145.4838,0.16,-46.86619999999999
2024-06-25,Central,Home Office,Technology,13,915.356286,0.09,-80.16371400000003
2024-08-01,North,Corporate,Furniture,4,560.485688,0.11,204.68568799999997
2024-10-09,North,Corporate,Technology,7,443.2344,0.2,-908.9555999999998
2023-07-07,Central,Home Office,Office Supplies,5,485.1346500000001,0.09,-603.9153499999999
2023-09-14,North,Corporate,Technology,3,779.1085499999999,0.17,149.52854999999988
2023-07-13,South,Consumer,Office Supplies,6,2742.2769000000003,0.11,2143.9569
2024-12-03,South,Home Office,Furniture,2,328.37448,0.02,289.17448
2025-03-12,North,Home Office,Furniture,4,250.23448000000002,0.08,-547.16552
2026-01-03,Central,Corporate,Technology,3,255.53902500000007,0.11,47.15902500000007
2023-07-07,East,Home Office,Office Supplies,4,1623.702366,0.06,551.7423660000001
2023-02-14,Central,Home Office,Furniture,3,289.84098,0.17,-380.92902
2023-03-24,Central,Corporate,Office Supplies,5,1876.3468050000001,0.030000000000000002,1302.906805
2023-12-24,East,Corporate,Office Supplies,3,626.6562,0.14,-23.38379999999995
2025-12-25,North,Consumer,Furniture,3,1337.858235,0.11,814.1782349999999
2025-07-24,North,Home Office,Furniture,4,1369.1832000000002,0.16,232.1432000000002
2024-01-10,North,Consumer,Technology,2,344.63624999999996,0.05,-202.66375
2024-03-25,East,Consumer,Furniture,6,1784.2348439999998,0.085,444.13484399999993
2025-11-02,West,Corporate,Technology,4,1373.8120000000001,0.0,684.5320000000002
2023-07-03,East,Home Office,Technology,3,724.7695289999999,0.17,593.219529
2024-05-22,North,Home Office,Furniture,17,3589.8126919999995,0.09666666666666668,1846.4226919999996
2025-06-22,Central,Consumer,Furniture,4,1403.61716,0.03,1063.17716
2025-08-31,North,Corporate,Office Supplies,2,1010.9418000000001,0.06,497.0018
2023-11-17,Central,Corporate,Furniture,3,1033.84215,0.01,462.85214999999994
2025-07-01,North,Consumer,Technology,10,7026.163924,0.09000000000000001,5125.523923999999
2024-03-12,Central,Home Office,Furniture,6,2078.2185600000003,0.12,870.6585600000003
2025-02-19,Central,Home Office,Technology,3,1076.51808,0.06,324.02808000000005
2025-12-12,Central,Corporate,Office Supplies,6,2162.53674,0.06,1742.71674
2024-12-26,West,Home Office,Technology,2,730.764204,0.17,443.68420399999997
2023-12-03,North,Corporate,Furniture,5,56.482800000000005,0.12,-16.6672
2023-07-02,North,Corporate,Office Supplies,0,964.4339249999999,0.09,964.4339249999999
2025-10-30,Central,Home Office,Furniture,9,1610.5399400000001,0.1,31.459940000000188
2024-10-21,East,Consumer,Technology,4,494.41392,0.12,-2.186080000000004
2025-11-03,Central,Home Office,Office Supplies,0,460.194,0.0,460.194
2024-02-16,North,Corporate,Furniture,4,1945.4,0.13,1349.1200000000001
2025-10-08,East,Consumer,Office Supplies,4,1331.88,0.14,753.7600000000001
2023-02-22,North,Home Office,Furniture,3,1291.356,0.2,796.2059999999999
2025-04-26,Central,Home Office,Furniture,13,4405.2283800000005,0.175,2077.27838
2025-11-19,South,Home Office,Technology,3,507.3684,0.15,-351.9515999999999
2025-11-01,North,Consumer,Furniture,5,2040.7924800000003,0.07500000000000001,1458.6224800000005
2026-01-03,East,Home Office,Office Supplies,4,1603.4827200000002,0.08,413.80272000000014
2025-05-22,North,Corporate,Office Supplies,7,243.75456,0.1,-761.23544
2025-10-14,Central,Corporate,Office Supplies,5,1125.3532400000004,0.12,-159.49675999999977
2023-10-21,North,Corporate,Office Supplies,3,1302.28182,0.11,531.3718199999998
2023-07-28,North,Corporate,Furniture,6,2053.9512,0.2,1559.0112
2025-03-28,South,Home Office,Furniture,3,937.0609529999999,0.17,451.60095299999995
2025-07-28,West,Home Office,Technology,0,1268.13984,0.13,1268.13984
2025-06-07,North,Home Office,Office Supplies,5,538.0182500000001,0.05,453.21825000000007
2024-10-29,West,Consumer,Office Supplies,3,1276.91883,0.07,977.7588300000001
2024-07-30,North,Home Office,Office Supplies,1,287.49182,0.02,23.701819999999998
2023-05-17,Central,Corporate,Furniture,2,448.34240000000005,0.06,99.22240000000005
2024-03-03,West,Consumer,Furniture,6,2497.8371039999997,0.16,1641.9371039999996
2024-09-03,North,Corporate,Technology,4,1703.82168,0.14,1129.6616800000002
2025-06-29,North,Consumer,Furniture,6,1852.13385,0.19,1132.0738499999998
2023-06-26,North,Corporate,Technology,4,1758.708,0.16,1735.268
2024-09-15,South,Consumer,Technology,3,1207.701495,0.19,690.741495
2024-11-21,Central,Corporate,Furniture,3,676.6217760000001,0.06,237.63177600000006
2024-02-05,East,Home Office,Technology,2,929.187144,0.13,870.687144
2025-07-17,East,Consumer,Technology,1,52.122524999999996,0.09,-70.687475
2025-08-08,West,Home Office,Office Supplies,3,1425.3653700000002,0.13,746.7353700000002
2023-06-24,East,Corporate,Technology,4,2044.1036000000001,0.02,1742.2636000000002
2023-08-23,East,Home Office,Office Supplies,1,443.8071000000001,0.19,239.7971000000001
2025-07-17,North,Consumer,Furniture,5,2873.6538600000003,0.09,2160.4038600000003
2024-06-06,East,Corporate,Furniture,1,24.900479999999998,0.04,-178.02952000000002
2025-09-05,North,Corporate,Furniture,3,1179.5440319999998,0.04,1089.8440319999997
2025-10-20,Central,Home Office,Technology,4,160.21488000000002,0.18,-843.10512
2025-01-10,East,Consumer,Office Supplies,6,992.7193500000003,0.11,-549.1006499999999
2025-06-16,Central,Home Office,Technology,3,1231.1772,0.05,413.1372000000001
2025-08-09,North,Home Office,Technology,2,93.51870000000001,0.15,-451.8413
2023-06-11,North,Consumer,Office Supplies,5,891.52293,0.13,-13.02706999999998
2025-10-23,East,Consumer,Furniture,6,685.0115999999999,0.15,-897.7284000000003
2025-11-17,Central,Corporate,Office Supplies,7,1899.781576,0.18,53.251575999999886
2023-11-22,Central,Consumer,Office Supplies,5,93.3254,0.02,-855.2746
2025-12-24,Central,Consumer,Office Supplies,5,872.800005,0.135,-397.569995
2023-12-22,North,Corporate,Office Supplies,4,1989.42744,0.02,1492.42744
2023-02-18,North,Corporate,Technology,5,1287.4365000000003,0.08,-169.46349999999984
2023-02-23,East,Corporate,Office Supplies,3,1262.2054500000004,0.01,675.7354500000004
2025-12-03,Central,Consumer,Technology,5,1810.480875,0.15,1397.0808749999999
2023-02-22,East,Consumer,Technology,2,260.074842,0.13,179.134842
2025-05-17,Central,Corporate,Furniture,5,251.06373,0.13,-657.18627
2024-09-05,North,Corporate,Furniture,2,975.38496,0.04,566.28496
2025-06-02,Central,Consumer,Furniture,3,698.6622199999999,0.065,441.05222
2025-01-09,West,Home Office,Office Supplies,5,1200.8997,0.07,478.39969999999994
2025-05-07,East,Consumer,Office Supplies,0,2883.0247600000002,0.02,2883.0247600000002
2023-04-29,South,Consumer,Furniture,5,842.3457300000001,0.19,681.2457300000001
2024-04-09,South,Consumer,Technology,5,1049.3356250000002,0.15,424.0356250000002
2023-04-14,North,Consumer,Technology,10,3335.2319000000007,0.135,1043.4019000000005
2024-11-28,East,Consumer,Technology,6,1200.474,0.06,450.1139999999999
2025-01-14,East,Home Office,Furniture,5,2397.9181500000004,0.1,1060.6681500000004
2024-10-26,West,Consumer,Furniture,4,411.4748,0.15,-643.6852000000001
2023-02-02,East,Home Office,Furniture,4,1366.074136,0.02,304.994136
2024-06-02,South,Home Office,Furniture,4,1071.498428,0.09,1012.9784280000001
2024-12-20,South,Consumer,Technology,5,746.004,0.2,493.404
2024-01-08,Central,Corporate,Office Supplies,0,148.61220000000006,0.08,148.61220000000006
2024-04-28,East,Home Office,Office Supplies,3,677.1547200000001,0.11,319.3147200000001
2025-08-30,Central,Home Office,Technology,4,1702.6178400000001,0.01,699.2978400000001
2024-09-14,North,Consumer,Furniture,9,3119.8361400000003,0.135,698.2961400000002
2024-04-01,North,Consumer,Office Supplies,1,237.65500000000003,0.0,-26.13499999999999
2023-06-09,East,Consumer,Furniture,5,1119.484275,0.11,760.734275
2023-11-27,North,Home Office,Office Supplies,8,333.50604400000003,0.15,-1564.433956
2023-08-13,East,Home Office,Technology,3,442.89012,0.15,-136.61987999999997
2025-12-18,South,Consumer,Office Supplies,6,1288.9562400000002,0.12,-432.86375999999996
2024-09-07,North,Corporate,Office Supplies,5,1757.48265,0.01,991.78265
2023-07-14,Central,Corporate,Office Supplies,5,2589.66235,0.03,2450.16235
2024-05-03,East,Corporate,Furniture,0,1069.3015200000002,0.16,1069.3015200000002
2024-02-16,North,Consumer,Technology,2,490.09884,0.07,226.87883999999997
2024-04-15,North,Consumer,Furniture,6,2223.455399,0.165,1868.315399
2024-01-28,East,Home Office,Office Supplies,8,2531.8788000000004,0.065,1711.4788
2024-08-30,North,Home Office,Office Supplies,8,881.3298960000001,0.19,-1306.5901039999999
2025-09-06,Central,Corporate,Office Supplies,9,2842.03726,0.07500000000000001,1397.5672600000003
2024-03-09,North,Home Office,Technology,7,824.35983,0.11,-141.15017
2024-06-23,East,Corporate,Furniture,4,56.959524,0.07,-824.720476
2023-08-21,East,Home Office,Office Supplies,4,1411.4822399999998,0.04,938.0822399999998
2023-12-28,West,Home Office,Furniture,3,558.9675000000001,0.09,-232.40250000000003
2023-01-26,Central,Consumer,Technology,4,2304.6387600000003,0.12,2090.1587600000003
2024-05-21,North,Corporate,Furniture,5,1178.8250250000003,0.11,379.0750250000003
2025-10-03,North,Home Office,Technology,3,746.50905,0.05,5.8090499999999565
2025-12-08,South,Corporate,Office Supplies,4,1811.528832,0.04,717.5688319999999
2024-07-17,East,Home Office,Office Supplies,3,72.37791,0.13,-165.91209000000003
2025-03-04,Central,Consumer,Office Supplies,5,461.82590999999996,0.07,410.27590999999995
2024-02-26,Central,Corporate,Furniture,8,1972.6832400000003,0.115,609.0832400000003
2023-01-15,South,Home Office,Technology,3,354.9168,0.2,-58.45319999999998
2024-03-21,North,Home Office,Furniture,3,824.47365,0.05,436.48365
2024-12-14,North,Consumer,Furniture,2,25.18208,0.02,-373.51792
2023-10-29,Central,Consumer,Technology,11,2934.6751000000004,0.14,835.7351000000004
2023-01-03,South,Consumer,Furniture,6,1349.3409600000002,0.17,131.7609600000003
2025-09-16,North,Home Office,Office Supplies,5,1162.64274,0.16,759.04274
2024-06-03,Central,Consumer,Office Supplies,2,607.27128,0.16,245.45128000000005
2024-05-07,Central,Home Office,Office Supplies,7,571.015752,0.035,-291.554248
2024-09-11,North,Consumer,Office Supplies,4,2075.63202,0.01,1919.07202
2025-05-12,North,Consumer,Technology,3,736.7598,0.11,364.3098
2023-09-29,East,Home Office,Office Supplies,3,165.59748000000002,0.1,-44.31251999999998
2024-11-26,South,Corporate,Office Supplies,2,486.424996,0.06,162.14499600000005
2025-10-13,East,Consumer,Office Supplies,6,352.2525600000001,0.12,-92.22743999999994
2023-10-01,Central,Home Office,Furniture,2,281.6775,0.19,-124.1825
2023-11-07,Central,Corporate,Furniture,4,1428.5744,0.06,653.8543999999999
2023-06-03,Central,Consumer,Technology,2,380.62810400000006,0.08,363.3681040000001
2025-03-07,Central,Consumer,Furniture,2,604.34748,0.07,144.82748000000004
2023-05-05,North,Corporate,Furniture,6,235.380892,0.135,-1059.739108
2024-09-10,North,Home Office,Furniture,4,1651.311312,0.16,665.831312
2025-04-27,West,Home Office,Technology,4,1491.8112,0.15,984.7712000000001
2023-12-28,West,Consumer,Furniture,2,689.7776400000001,0.1,511.87764000000016
2023-01-08,West,Corporate,Office Supplies,2,147.99435,0.15,-260.50565
2023-07-06,Central,Home Office,Furniture,3,646.43301,0.05,592.16301
2023-04-03,North,Corporate,Office Supplies,3,256.80072000000007,0.12,-514.10928
2023-03-27,North,Corporate,Office Supplies,8,2533.5037199999997,0.030000000000000002,1382.3037199999997
2024-02-25,East,Home Office,Office Supplies,3,1293.64528,0.16499999999999998,563.53528
2023-03-15,North,Corporate,Furniture,5,1563.16728,0.13,478.46727999999985
2025-05-21,East,Corporate,Office Supplies,7,2610.6625,0.075,1869.8325
2025-06-07,Central,Consumer,Technology,0,344.748008,0.18,344.748008
2023-01-10,North,Corporate,Office Supplies,9,1973.571672,0.15500000000000003,1127.321672
2025-01-09,North,Home Office,Technology,3,1194.7998780000003,0.06,1155.5298780000003
2024-10-28,South,Corporate,Office Supplies,1,423.52695,0.15,249.38695
2024-06-29,South,Corporate,Office Supplies,4,1024.4203200000002,0.12,-20.459679999999935
2025-09-06,East,Consumer,Office Supplies,13,3224.80422,0.08499999999999999,2165.0242200000002
2024-02-08,Central,Consumer,Furniture,5,4546.5717,0.08,3821.9717
2024-12-18,North,Consumer,Furniture,6,1789.2403199999999,0.14,1278.58032
2023-10-01,West,Corporate,Furniture,2,138.34799999999998,0.2,-31.872000000000014
2024-11-15,North,Corporate,Office Supplies,6,2205.9945600000005,0.12,1233.4545600000006
2025-05-10,Central,Consumer,Office Supplies,2,820.116,0.05,591.776
2026-01-10,Central,Consumer,Office Supplies,2,1022.35266,0.02,822.91266
2023-11-20,North,Home Office,Furniture,4,1891.5438599999998,0.05,1604.4638599999998
2023-04-15,East,Consumer,Technology,7,3613.3051500000006,0.05,2521.6551500000005
2025-10-12,North,Corporate,Office Supplies,2,240.64320000000004,0.2,-234.75679999999994
2025-01-02,Central,Corporate,Office Supplies,9,860.5863840000001,0.09,6.246384000000063
2024-10-22,North,Corporate,Furniture,10,2182.0400820000004,0.12,-416.77991799999995
2023-10-09,Central,Home Office,Furniture,5,952.6608,0.12000000000000001,195.64080000000007
2024-02-07,Central,Corporate,Furniture,5,836.5857500000001,0.09,151.58575000000008
2024-11-30,West,Consumer,Technology,4,41.841280000000005,0.06,-25.078719999999997
2024-04-06,West,Consumer,Office Supplies,6,1868.33745,0.05,445.79745
2023-05-12,East,Home Office,Technology,7,1176.4901,0.10500000000000001,907.6701
2025-01-23,Central,Home Office,Furniture,6,1834.4556600000003,0.14,719.5056600000004
2024-09-19,Central,Corporate,Office Supplies,9,3175.65705,0.14500000000000002,1339.56705
2023-08-09,East,Consumer,Office Supplies,8,1131.7363200000002,0.08,-496.7436799999998
2024-07-06,Central,Consumer,Furniture,8,837.906835,0.14500000000000002,-1160.273165
2023-04-22,Central,Corporate,Furniture,4,1184.2358000000002,0.05,198.75580000000014
2024-09-06,East,Corporate,Furniture,4,838.1023200000001,0.18,-160.13767999999993
2024-04-19,North,Home Office,Furniture,9,2739.231,0.08,1168.1910000000003
2025-04-15,East,Home Office,Furniture,7,174.31407000000002,0.13,-945.3359299999998
2023-09-28,Central,Home Office,Office Supplies,2,126.28616,0.17,-420.69384
2024-12-07,North,Home Office,Office Supplies,4,1443.5357999999999,0.14,726.2957999999999
2023-10-17,South,Corporate,Technology,0,1330.7639219999999,0.06,1330.7639219999999
2024-04-15,Central,Corporate,Furniture,4,1618.7679040000003,0.18,635.0879040000003
2024-09-19,West,Corporate,Furniture,4,352.19730000000004,0.09,-631.5227
2023-10-06,East,Home Office,Office Supplies,4,1000.4820000000001,0.18,52.12200000000007
2025-05-26,North,Corporate,Furniture,2,38.08310000000001,0.11,-353.1169
2024-08-03,Central,Consumer,Office Supplies,10,1698.986535,0.09,-765.043465
2024-11-11,Central,Consumer,Office Supplies,8,1471.8312,0.09,1198.8912
2024-11-30,East,Consumer,Furniture,3,942.5089650000001,0.05,452.2489650000001
2024-07-19,Central,Corporate,Office Supplies,3,172.998456,0.08,-618.3715440000001
2024-01-26,North,Home Office,Office Supplies,7,604.9454249999999,0.15,-1403.8445750000003
2026-01-13,North,Corporate,Technology,4,1596.08736,0.18,949.12736
2023-07-31,East,Corporate,Furniture,4,1054.3240400000002,0.03,159.96404000000018
2025-11-27,Central,Home Office,Furniture,2,1010.0569600000001,0.08,866.5569600000001
2023-11-02,North,Consumer,Office Supplies,3,891.3113220000001,0.17,261.3413220000001
2024-12-02,North,Corporate,Furniture,3,896.98266,0.17,842.2926600000001
2024-05-10,North,Corporate,Furniture,2,309.82776,0.06,104.88776000000001
2025-12-06,South,Home Office,Technology,0,157.38309000000004,0.1,157.38309000000004
2023-11-06,South,Home Office,Furniture,3,517.84866,0.16,-334.93134
2025-01-22,Central,Consumer,Furniture,3,86.16699,0.09,-129.14301
2023-09-29,Central,Consumer,Technology,4,1121.9796,0.1,476.5795999999999
2025-07-26,North,Home Office,Technology,9,1220.7231299999999,0.085,-489.31687000000005
2023-02-01,West,Home Office,Furniture,3,636.8922,0.17,113.21219999999994
2024-03-18,North,Corporate,Office Supplies,4,1706.3298000000002,0.1,973.5298000000003
2023-09-11,Central,Corporate,Technology,8,3023.1707499999998,0.05,2170.2507499999997
2024-12-26,South,Consumer,Furniture,4,800.7296000000001,0.2,263.2496000000001
2025-07-05,West,Consumer,Furniture,3,1387.2144,0.14,842.2644
2025-05-18,North,Home Office,Technology,0,152.73104,0.08,152.73104
2025-01-22,West,Corporate,Technology,6,1764.35424,0.12,1430.1542399999998
2025-06-13,Central,Corporate,Furniture,4,591.269588,0.09,53.78958799999998
2023-04-14,South,Corporate,Furniture,5,721.4368000000001,0.02,362.5868000000001
2024-02-11,North,Corporate,Furniture,3,950.243458,0.195,461.08345800000006
2024-05-23,West,Consumer,Furniture,3,627.9134400000002,0.16,41.113440000000196
2023-11-09,North,Home Office,Furniture,4,882.435096,0.09,822.185096
2024-11-11,West,Corporate,Office Supplies,1,406.025025,0.03,132.53502500000002
2024-04-21,Central,Corporate,Office Supplies,3,111.77586000000001,0.08,-318.93413999999996
2023-09-19,West,Consumer,Technology,8,1376.8062000000002,0.15,274.4862000000003
2024-07-14,North,Consumer,Technology,2,78.87088000000001,0.18,-89.80912
2023-04-19,Central,Corporate,Furniture,6,923.187624,0.095,330.247624
2023-07-02,South,Home Office,Furniture,10,1363.31226,0.14500000000000002,171.37225999999987
2023-03-06,Central,Home Office,Furniture,4,349.10876,0.09,-452.85124
2025-08-20,East,Corporate,Furniture,7,2502.1816400000002,0.045000000000000005,1386.38164
2025-05-13,North,Corporate,Technology,4,2171.661321,0.07,1526.261321
2024-01-04,North,Consumer,Technology,3,1197.7842150000001,0.15,713.7342150000002
2025-04-30,North,Consumer,Office Supplies,4,790.3526400000001,0.01,633.7926400000001
2023-02-12,Central,Consumer,Furniture,3,1016.7689700000001,0.14,603.0989700000001
2024-05-02,North,Home Office,Technology,8,921.2544000000003,0.2,-1409.7855999999997
2023-03-19,West,Home Office,Technology,5,2164.30305,0.09,732.1030499999999
2025-04-05,North,Consumer,Office Supplies,8,3867.66336,0.04,2303.74336
2024-11-04,West,Consumer,Furniture,3,208.065,0.0,-195.04500000000002
2024-12-01,South,Corporate,Office Supplies,2,733.83786,0.17,219.89785999999992
2024-12-28,North,Consumer,Technology,8,1226.2078620000002,0.049999999999999996,-466.20213799999993
2025-06-20,North,Corporate,Technology,0,1374.42756,0.08,1374.42756
2025-06-07,South,Consumer,Technology,3,658.397322,0.19,526.8473220000001
2023-12-05,Central,Corporate,Technology,7,1780.762,0.12000000000000001,1131.3719999999998
2023-07-12,Central,Corporate,Furniture,6,693.21582,0.19,575.61582
2023-10-10,East,Home Office,Furniture,3,144.03312000000003,0.04,-593.7568799999999
2024-01-25,West,Corporate,Office Supplies,4,1100.9526,0.07,397.4326000000001
2025-06-09,Central,Home Office,Office Supplies,3,478.90632000000005,0.15,395.20632000000006
2024-03-27,North,Corporate,Office Supplies,3,632.8964400000001,0.12,199.3964400000001
2025-11-11,West,Home Office,Technology,4,842.87952,0.19,-47.44048000000009
2025-04-19,South,Home Office,Furniture,3,288.618,0.0,-507.19199999999995
2024-06-02,North,Consumer,Office Supplies,8,2984.9702400000006,0.16,1242.4902400000005
2024-01-10,East,Home Office,Technology,3,53.6976,0.1,-671.3724
2025-10-11,East,Corporate,Technology,3,461.4917490000001,0.19,309.9317490000001
2024-08-17,West,Consumer,Furniture,3,670.916322,0.07,57.266321999999946
2024-05-14,North,Consumer,Technology,6,2109.7083000000002,0.18,1283.5083000000004
2024-04-08,North,Corporate,Furniture,4,47.178012,0.13,-53.461988
2025-11-01,East,Home Office,Office Supplies,3,1273.0028849999999,0.01,900.2528849999999
2023-05-20,North,Home Office,Office Supplies,1,117.58677000000002,0.18,-44.50322999999999
2024-07-22,East,Corporate,Office Supplies,5,1847.2681500000003,0.09,551.2181500000004
2023-04-28,Central,Consumer,Office Supplies,7,1074.465972,0.035,-121.2140280000001
2025-06-06,North,Consumer,Office Supplies,8,130.20744,0.07,-519.07256
2025-11-22,East,Home Office,Technology,1,279.595815,0.13,235.74581500000002
2024-12-26,East,Corporate,Office Supplies,0,1335.1340160000002,0.13,1335.1340160000002
2023-07-16,Central,Corporate,Office Supplies,7,2403.9184400000004,0.14,1214.1984400000003
2024-07-12,Central,Consumer,Office Supplies,4,269.327988,0.13,-779.152012
